SITE|STONE|BIB_REF|PAGES|ILLUSTRATI|PHOTO|MAP|DRAWING|VALUE
BLFOO|1|Forsyth/1996|95--101||yes|yes|yes|sdisc
BLFOO|2|Forsyth/1996|93--101||yes|yes|yes|sdisc
BLHER|1|Cuppage/etal/1986|252||no|no|no|minor
BLHER|1|Macalister/1945|160||no|no|yes|cdisc
BLHUN|1|Cuppage/etal/1986|253--254||yes|no|yes|cdisc
BLHUN|1|Macalister/1897|49--50||no|no|no|minor
BLHUN|1|Macalister/1945|164--165||no|no|yes|cdisc
BLNIG|1|Cuppage/etal/1986|256||no|no|no|cdisc
BLNIG|1|Macalister/1897|50--51||no|no|no|cdisc
BLNIG|1|Macalister/1945|142||no|no|yes|cdisc
BLTAG|1|Cuppage/etal/1986|265||no|no|no|minor
BLTAG|1|Gippert/Web|Ogham 155||yes|no|no|cdisc
BLTAG|1|Macalister/1897|31--33||no|no|no|cdisc
BLTAG|1|Macalister/1945|151--152||no|no|no|minor
BLTAG|2|Cuppage/etal/1986|265--266||yes|no|yes|cdisc
BLTAG|2|Gippert/Web|Ogham 156||yes|no|yes|sdisc
BLTAG|2|Macalister/1897|33--34||no|no|no|minor
BLTAG|2|Macalister/1945|152--153||no|no|yes|cdisc
BLTAG|3|Cuppage/etal/1986|265||no|no|no|minor
BLTAG|3|Gippert/Web|Ogham 157||yes|no|yes|sdisc
BLTAG|3|Macalister/1897|34--35||no|no|no|minor
BLTAG|3|Macalister/1945|152--153||no|no|yes|minor
BLTAG|4|Cuppage/etal/1986|265||no|no|no|cdisc
BLTAG|4|Gippert/Web|Ogham 158||yes|no|yes|cdisc
BLTAG|4|Macalister/1897|35||no|no|no|minor
BLTAG|4|Macalister/1945|153||no|no|yes|cdisc
BLTAG|5|Cuppage/etal/1986|265||no|no|no|cdisc
BLTAG|5|Gippert/Web|Ogham 159||yes|no|yes|cdisc
BLTAG|5|Macalister/1897|35--37||no|no|no|cdisc
BLTAG|5|Macalister/1945|154||no|no|no|minor
BLTAG|5|McManus/1991|65||no|no|no|read
BLTAG|5|Ziegler/1994|265||no|no|no|read
BLTAG|6|Cuppage/etal/1986|265--266||no|no|yes|cdisc
BLTAG|6|Gippert/Web|Ogham 160||yes|no|yes|sdisc
BLTAG|6|Macalister/1897|37--39||no|no|no|cdisc
BLTAG|6|Macalister/1945|154--155||no|no|yes|cdisc
