SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
CNWYL|WynEvans/1991|249|no|no|no|no|sdisc
COBOY|Macalister/1945|244--245||no|no|no|cdisc
COHIL|Macalister/1945|222||no|no|no|cdisc
COLIN|Macalister/1945|22||no|no|no|cdisc
COOGH|Gippert/Web|104||yes|no|no|cdisc
COOGH|Macalister/1945|103--105||no|no|no|minor
COOLE|Macalister/1945|224||no|no|no|minor
COOLE|OSullivan/etal/1996|274, Plate XVIIIb||yes|no|no|cdisc
COOLH|Macalister/1945|127--128||no|no|no|cdisc
COOLM|Gippert/Web|197||no|yes|yes|cdisc
COOLM|Macalister/1945|191--192||no|no|no|minor
COOLM|OSullivan/etal/1996|227, Fig. 130||no|yes|no|cdisc
CORRO|Macalister/1945|9--10|1|no|no|no|cdisc
COTTS|Macalister/1945|48--49||no|no|no|cdisc
COTTS|Moore/1996|15||no|no|no|cdisc
COYCH|Anon/1888|401--403||no|no|no|sdisc
COYCH|Anon/1928|387--388||no|no|no|cdisc
CRAG|Macalister/1945|246||no|no|no|minor
CRAI|Macalister/1945|318||no|no|no|minor
CRAI|Nash-Williams/1950|69||no|no|no|minor
CRCKH|Macalister/1945|314||no|no|no|minor
CRCKH|Nash-Williams/1950|69||no|no|no|minor
CRCOM|Macalister/1945|297||no|no|no|minor
CREHS|Macalister/1945|293||no|no|no|cdisc
CRGHH|Macalister/1945|294||no|no|no|cdisc
CRGUL|Macalister/1945|126--127||no|no|no|cdisc
CRNLO|Macalister/1945|128--129||no|no|no|cdisc
CRSER|Power/etal/1992|124||no|no|no|minor
CSKEE|Gippert/Web|41||yes|no|no|cdisc
CSKEE|Macalister/1945|46--47||no|no|no|cdisc
CSMO|Macalister/1945|51--52||no|no|no|cdisc
CSTGR|Brindley/Kilfeather/1993|12||no|no|no|minor
CSTLD|Macalister/1945|465|none|no|no|no|minor
CSTLD|Okasha/1993|90|none|no|no|no|minor
CSTLD|Radford/1951|1--119||no|no|no|sdisc
CSTLD|Rahtz/1971|49-54||no|no|yes|sdisc
CUBRT|Okasha/1993|97||no|no|no|minor
CURMO|Macalister/1945|198--199||no|no|no|cdisc
DEELI|Gippert/Web|Ogham 106||no|no|no|sdisc
DEELI|Macalister/1945|107--108||no|no|no|cdisc
DEGAS|Macalister/1945|213--214||no|yes|no|cdisc
DEGAS|OSullivan/etal/1996|57||no|no|no|cdisc
DELGA|Macalister/1949|87||no|no|no|minor
DENAN|Macalister/1945|214--215||no|no|no|cdisc
DENAN|OSullivan/etal/1996|242||no|no|no|cdisc
DERIV|Macalister/1945|199--200||no|no|no|cdisc
DERIV|OSullivan/etal/1996|242||no|no|no|cdisc
DFYNG|Nash-Williams/1950|69||no|no|no|
DFYNG|Westwood/1876|65||no|no|no|
DINGL|Cuppage/etal/1986|254--255||no|no|no|minor
