SITE|STONE|INSCRIPTIO|BIB_REF|PAGES|ILLUSTRATI|PHOTO|DRAWING|VALUE
BDAFN|1|1|RCAHMW/1956|115--116||yes|no|sdisc
BDAFN|1|1|Rhys/1877b|135--136||no|yes|sdisc
BDAFN|1|1|Rhys/1897|140--142||no|yes|sdisc
BDAFN|1|1|Westwood/1879|183||no|no|cdisc
BDREN|1|1|Cuppage/etal/1986|252--253||no|no|list
BDREN|1|1|Macalister/1902|23--24||no|yes|cdisc
BDREN|1|1|Macalister/1945|160--161||no|yes|cdisc
BDREN|2|1|Cuppage/etal/1986|44||no|no|minor
BDREN|2|1|Macalister/1945|161--162||no|yes|cdisc
BENBR|1|1|McManus/1991|75||no|no|cdisc
BGARR|1|1|Macalister/1945|253--254||yes|yes|cdisc
BGLAS|1|1|Gippert/Web|Ogham 49||yes|yes|cdisc
BGLAS|1|1|Macalister/1945|53--54||no|no|cdisc
BGLAS|1|2|Gippert/Web|Ogham 49||no|no|cdisc
BGLAS|1|2|Macalister/1945|53--54||no|no|cdisc
BHILL|1|1|Macalister/1902|50--51||no|no|cdisc
BHILL|1|1|Macalister/1945|243--244||no|no|cdisc
BIISL|1|1|Gippert/Web|Ogham 61||yes|no|cdisc
BIISL|1|1|Macalister/1945|65||no|yes|cdisc
BIISL|1|1|Ziegler/1994|257||no|no|read
BIRSY|1|1|Forsyth/1996|77--81||yes|yes|sdisc
BIRSY|2|1|Forsyth/1996|81--82||no|no|sdisc
BIRSY|3|1|Forsyth/1996|85--92||yes|yes|sdisc
BISCV|1|1|Huebner/1876|7||no|yes|cdisc
BISCV|1|1|Macalister/1949|183, Plate LXI|drawing|no|yes|sdisc
BISCV|1|1|Okasha/1993|63--66|photograph|yes|no|sdisc
BISCV|1|1|Thomas/1994|330||no|no|minor
BISCV|1|2|Huebner/1876|7||no|yes|cdisc
BISCV|1|2|Macalister/1949|183, Plate LXI|drawing|no|yes|sdisc
BISCV|1|2|Okasha/1993|63--66|photograph|yes|no|sdisc
BLFOO|1|1|Forsyth/1996|95--101||yes|yes|sdisc
BLFOO|2|1|Forsyth/1996|97--101||yes|yes|sdisc
BLHER|1|1|Cuppage/etal/1986|252||no|no|cdisc
BLHER|1|1|Macalister/1897|46--47||no|no|cdisc
BLHER|1|1|Macalister/1945|160||no|yes|cdisc
BLHUN|1|1|Cuppage/etal/1986|253--254||yes|yes|cdisc
BLHUN|1|1|Macalister/1897|49--50||no|no|minor
BLHUN|1|1|Macalister/1945|164--165||no|yes|cdisc
