label_en	P1545_ciic	P1684
CIIC 290	290	MAQI E[..
CIIC 291	291	n/a
CIIC 292	292	....]ER[A]T[I] M[U]C[OI] NETA-S[EGAM]ONAS
CIIC 293	293	...]RG[...]BRCEN[...
CIIC 294	294	CORB
CIIC 295	295	Q[E]CC[IAS] M[U]C[OI B]R[O]E[NIONAS]
CIIC 296	296	...]CIR MAQI MUC[...
CIIC 297	297	VORTIGURN
CIIC 298	298	VEDABAR M[A]Q[.....]LSM MOCOI ORD[....]REA.
CIIC 299	299	[MAQI?] MOŊEDIAS MAQI MUIBITI
CIIC 300	300	CUNNETAS MAQI GOC[OI] NETA-SEGAMONAS
CIIC 301	301	DOMOKI
CIIC 302	302	CUMNI MAQI MUCOI VALUVI
CIIC 303	303	CATABAR MOCO VIRICORB
CIIC 304	304	VOCAGNI MAQI CUR(I)T
CIIC 305	305	n/a
CIIC 306	306	LUGUDI MAQI L..D...QA MOCOI DONM(A)
CIIC 307	307	MODDAGN[I] MAQI GATTAGN[I] MUCOI LUGUNI
CIIC 308	308	n/a
CIIC 309	309	TORAESCEUSAS MAQI MUCOI MEUTINI
CIIC 310	310	CAGINADI MAQI VOBARACI
CIIC 311	311	DINEGLO MAQI QETAIS
CIIC 312	312	OSBBAR
CIIC 313	313	OVOMAN(I?)
CIIC 314	314	n/a
CIIC 315	315	NETTACU[NAS].
CIIC 316	316	BROCAGNI MAQI MU
CIIC 317	317	DOTETTO MAQI MAGLANI
